Sum of Energy_Usage_kWh,Column Labels,,,
Row Labels,Facility_A,Facility_B,Facility_C,Grand Total
1/1/2022,5358.46,8251.7,3834.82,17444.98
2/1/2022,6122.41,8730.59,4617.65,19470.65
3/1/2022,6034.95,9550.38,4662.23,20247.56
4/1/2022,5884.88,9057.83,3983.33,18926.04
5/1/2022,5463.82,8685.01,3830.17,17979
6/1/2022,4929.32,7556.38,3702.91,16188.61
7/1/2022,4601.7,7305.15,3108.47,15015.32
8/1/2022,4123.2,6719.01,2079.72,12921.93
9/1/2022,3487.7,6975.18,2605.77,13068.65
10/1/2022,4085.51,7257.39,2862.72,14205.62
11/1/2022,4308.98,7794.03,2726.5,14829.51
12/1/2022,4881.04,8032.92,3404.58,16318.54
1/1/2023,5489.57,8635.55,4437.88,18563
2/1/2023,5952.68,8672.3,4124.92,18749.9
3/1/2023,5957.88,8947.25,4729.38,19634.51
4/1/2023,5916.41,8749.28,4271.55,18937.24
5/1/2023,5490.36,8475.47,4060.05,18025.88
6/1/2023,4873.65,7804.98,3000.06,15678.69
7/1/2023,4537.59,7833.32,2789.12,15160.03
8/1/2023,4240.35,21963.24,2848.47,29052.06
9/1/2023,4264.76,6910.32,2497.59,13672.67
10/1/2023,3869.22,7263.12,2788.22,13920.56
11/1/2023,4625.14,7301.87,3109.86,15036.87
12/1/2023,5166.08,7942.07,3450.91,16559.06
Grand Total,119665.66,206414.34,83526.88,409606.88
